Zip Code,City,County,Population
27009,Belews Creek,Forsyth County,3002.0
28773,Saluda,Polk County,2973.0
28159,Spencer,Rowan County,2959.0
27959,Nags Head,Dare County,2938.0
27326,Ruffin,Rockingham County,2900.0
28525,Deep Run,Lenoir County,2883.0
27832,Gaston,Northampton County,2868.0
28905,Marble,Cherokee County,2863.0
27939,Grandy,Currituck County,2862.0
27883,Stantonsburg,Wilson County,2850.0
27844,Hollister,Halifax County,2846.0
28526,Dover,Craven County,2797.0
28521,Chinquapin,Duplin County,2769.0
27356,Star,Montgomery County,2759.0
28373,Pinebluff,Moore County,2749.0
28088,Landis,Rowan County,2746.0
28454,Maple Hill,Pender County,2733.0
28167,Union Mills,Rutherford County,2732.0
27054,Woodleaf,Rowan County,2725.0
27553,Manson,Vance County,2725.0
27110,Winston Salem,Forsyth County,2723.0
28626,Fleetwood,Ashe County,2693.0
27812,Bethel,Pitt County,2686.0
27890,Weldon,Halifax County,2685.0
28450,Lake Waccamaw,Columbus County,2684.0
28071,Gold Hill,Rowan County,2667.0
27109,Winston Salem,Forsyth County,2661.0
28669,Roaring River,Wilkes County,2623.0
27559,Moncure,Chatham County,2622.0
28515,Bayboro,Pamlico County,2606.0
28480,Wrightsville Beach,New Hanover County,2599.0
28349,Kenansville,Duplin County,2598.0
28357,Lumber Bridge,Robeson County,2590.0
28689,Union Grove,Iredell County,2586.0
28369,Orrum,Robeson County,2585.0
28396,Wagram,Scotland County,2583.0
27806,Aurora,Beaufort County,2576.0
28618,Deep Gap,Watauga County,2561.0
27007,Ararat,Surry County,2550.0
28582,Stella,Carteret County,2507.0
28455,Nakina,Columbus County,2500.0
28571,Oriental,Pamlico County,2474.0
28709,Barnardsville,Buncombe County,2470.0
27970,Roper,Washington County,2446.0
28125,Mount Ulla,Rowan County,2421.0
28423,Bolton,Columbus County,2421.0
28746,Lake Lure,Rutherford County,2420.0
28133,Peachland,Anson County,2420.0
28763,Otto,Macon County,2419.0
27355,Staley,Randolph County,2394.0
28119,Morven,Anson County,2391.0
28665,Purlear,Wilkes County,2376.0
27986,Winton,Hertford County,2362.0
28020,Casar,Cleveland County,2354.0
28698,Zionville,Watauga County,2312.0
28444,Harrells,Sampson County,2310.0
28430,Cerro Gordo,Columbus County,2298.0
28747,Lake Toxaway,Transylvania County,2297.0
28385,Salemburg,Sampson County,2277.0
27888,Walstonburg,Greene County,2261.0
28660,Olin,Iredell County,2210.0
28435,Currie,Pender County,2210.0
28523,Cove City,Craven County,2196.0
27212,Blanch,Caswell County,2196.0
28622,Elk Park,Avery County,2189.0
28347,Hoffman,Richmond County,2187.0
27562,New Hill,Wake County,2149.0
27816,Castalia,Nash County,2125.0
28436,Delco,Columbus County,2090.0
27808,Bath,Beaufort County,2066.0
27950,Knotts Island,Currituck County,2048.0
28395,Wade,Cumberland County,2046.0
27878,Sharpsburg,Nash County,2045.0
27820,Conway,Northampton County,2041.0
28684,Todd,Ashe County,2038.0
27231,Cedar Grove,Orange County,2020.0
27980,Tyner,Chowan County,2018.0
28538,Hookerton,Greene County,2008.0
28743,Hot Springs,Madison County,1997.0
28091,Lilesville,Anson County,1975.0
27865,Pinetown,Beaufort County,1963.0
28393,Turkey,Sampson County,1962.0
28399,White Oak,Bladen County,1955.0
28717,Cashiers,Jackson County,1948.0
27814,Blounts Creek,Beaufort County,1947.0
27507,Bullock,Granville County,1930.0
28617,Crumpler,Ashe County,1924.0
28529,Grantsboro,Pamlico County,1920.0
27935,Eure,Gates County,1879.0
28783,Tuckasegee,Jackson County,1858.0
28685,Traphill,Wilkes County,1854.0
28615,Creston,Ashe County,1811.0
27897,Woodland,Northampton County,1810.0
27824,Engelhard,Hyde County,1797.0
27929,Currituck,Currituck County,1787.0
28449,Kure Beach,New Hanover County,1778.0
27343,Semora,Person County,1772.0
27046,Sandy Ridge,Stokes County,1771.0
28573,Pollocksville,Jones County,1770.0
27315,Providence,Caswell County,1763.0
28447,Ivanhoe,Sampson County,1734.0
27981,Wanchese,Dare County,1732.0
27208,Bennett,Chatham County,1721.0
27928,Creswell,Washington County,1717.0
27869,Rich Square,Northampton County,1705.0
27818,Como,Hertford County,1699.0
27926,Corapeake,Gates County,1692.0
28637,Hildebran,Burke County,1692.0
28693,Warrensville,Ashe County,1690.0
27551,Macon,Warren County,1684.0
27252,Goldston,Chatham County,1669.0
27860,Pantego,Beaufort County,1663.0
28438,Evergreen,Columbus County,1651.0
27305,Milton,Caswell County,1624.0
27291,Leasburg,Caswell County,1616.0
28421,Atkinson,Pender County,1610.0
28679,Sugar Grove,Watauga County,1609.0
27849,Lewiston Woodville,Bertie County,1608.0
28619,Drexel,Burke County,1593.0
28392,Tar Heel,Bladen County,1559.0
28623,Ennice,Alleghany County,1540.0
27920,Buxton,Dare County,1527.0
28072,Granite Quarry,Rowan County,1527.0
28510,Arapahoe,Pamlico County,1508.0
28624,Ferguson,Wilkes County,1499.0
28606,Boomer,Wilkes County,1497.0
28682,Terrell,Catawba County,1474.0
27979,Sunbury,Gates County,1473.0
28343,Gibson,Scotland County,1457.0
27842,Henrico,Northampton County,1446.0
